,Tweet,Scores
2,liat timeline kpu bakal tabrak hehe,-1
3,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1
4,tps gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c,-1
5,malah lebih dahsyat salah inputnya,-1
6,salah kpu input data formulir c manusiawi,-1
7,kpuid sedikit bocor,-1
8,salah kpuid kpu tanya komisi ii dpr pilih manusia goblok gini jadi komisioner kpu,-1
9,rakyat surabaya tuntut suara dirampok inilah hasil curang dibiar rakyat lawan,-1
10,pemilu kali beres situngnya beres rekap kabupaten beres otomatis hasilnya be,-1
11,tolak narasi curang pmii gelar aksi dukung kpu bawaslu,-1
13,sang profokator jati,-1
14,suai kicau lama pakar itb sebut situng dikendali intruder sebut asal depan gambir,-1
15,ibarat kasih jatah ma trus ma jatah namanya dasar rakus,-1
16,kpu situng gaduh buat ditahan,-1
18,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1
19,temu jokow ditengah curang kpu massif sisa gerindra,-1
20,bukti dukung punya ilmu politik dikit langsung ngegas gitu,-1
21,situng kpuid erorr dicaya,-1
24,situng kpu dinilai tambah kacau brutal,-1
26,situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error,-1
29,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1
31,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1
32,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1
33,kpuid demokrat melenggang hadap jokowi sisa gerindra pks,-1
35,hati banyak alih isu fokus kinerja kpu lengah dikit tewas,-1
36,press release serah bukti lebih salah input situng kpuid diima bawaslu,-1
37,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1
39,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1
40,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1
41,kembali indonesia pemilu buruk panjang sejarah dunia,-1
42,beda demokrasi bangsa indonesia paling suka ketidak adilan fraud curang inkompetensi,-1
43,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu,-1
44,saran betul bang masalahnya belah mulai radang abangku panik tutup,-1
45,viral yok bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti situng kpuid,-1
