,Tweet,Scores
1,anak kelas bobol situs kpu pemilu hoax hati jadi sebut tahun,1.0
2,kpuid bawasluri mantap,1.0
3,legowo sama hasil situng emng kalah legowo pilgub dki aman,1.0
4,liat timeline kpu bakal tabrak hehe,-1.0
5,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1.0
6,tps gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
7,malah lebih dahsyat salah inputnya,-1.0
8,salah kpu input data formulir c manusiawi,-1.0
9,kpuid sedikit bocor,-1.0
10,salah kpuid kpu tanya komisi ii dpr pilih manusia goblok gini jadi komisioner kpu,-1.0
11,rakyat surabaya tuntut suara dirampok inilah hasil curang dibiar rakyat lawan,-1.0
12,pemilu kali beres situngnya beres rekap kabupaten beres otomatis hasilnya be,-1.0
13,tolak narasi curang pmii gelar aksi dukung kpu bawaslu,-1.0
14,kpkri bap udah revisi situng kpu direvisi bener sem,1.0
18,sang profokator jati,-1.0
20,suai kicau lama pakar itb sebut situng dikendali intruder sebut asal depan gambir,-1.0
22,ibarat kasih jatah ma trus ma jatah namanya dasar rakus,-1.0
26,kpu situng gaduh buat ditahan,-1.0
28,dukung cinta indonesia adil makmur curang pemilu kedepannya jangan,1.0
29,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
30,temu jokow ditengah curang kpu massif sisa gerindra,-1.0
31,bukti dukung punya ilmu politik dikit langsung ngegas gitu,-1.0
40,situng kpuid erorr dicaya,-1.0
41,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1.0
43,nyata duka citasimpati atas jadi jokowi jancuk,1.0
44,situng kpu dinilai tambah kacau brutal,-1.0
45,guru besar ui kpu layak jadi hasil pemilu,1.0
46,situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error,-1.0
48,lama nongol romy sampai selamat kpu laksana pemilu jurdil,1.0
49,menang telak jawa barat jawa timur dki banten aceh padang ntb jambi,1.0
50,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
52,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1.0
53,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1.0
54,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
55,kpuid demokrat melenggang hadap jokowi sisa gerindra pks,-1.0
56,tiap fungsionaris lembaga selenggara pemilu lu komentar suatu suatu potensi undang,1.0
58,hati banyak alih isu fokus kinerja kpu lengah dikit tewas,-1.0
59,press release serah bukti lebih salah input situng kpuid diima bawaslu,-1.0
61,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1.0
63,jelas kpuid prov jawa barat kota kota sukabumi lembursitu kel situmekar tps,1.0
64,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
66,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1.0
67,kembali indonesia pemilu buruk panjang sejarah dunia,-1.0
68,beda demokrasi bangsa indonesia paling suka ketidak adilan fraud curang inkompetensi,-1.0
69,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu,-1.0
70,saran betul bang masalahnya belah mulai radang abangku panik tutup,-1.0
71,viral yok bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti situng kpuid,-1.0
72,bawa bukti ribu lebih salah input relawan it bpn desak bawaslu henti situng kpu,-1.0
74,bu situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa,1.0
75,baru hasil real count kpu pilpres jokowi vs prabowo hari jumat mei data masuk jokowimaruf,1.0
76,pikir lantas siapa bertanggung jawab atas semua bang lulus menjdi kpu sedang tugasnya,1.0
77,forensik mayat,-1.0
78,pantesan klo kamvrets pintar enak bilang dungu data sedia sedang dibaiki sama kpu,1.0
81,bunya hampir salah input,-1.0
82,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1.0
83,kpu salah input suara jokowimaruf bengkak johor baru,-1.0
84,saksi prabowosandi tanda tangan berita acara hasil rekapitulasi kpu kota blitar padahal temu,1.0
85,bpn prabowosandi lapor kpu lembaga survei bawaslu,-1.0
87,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
88,kpuid kpu emang pekok bahlul,-1.0
90,hukum kpuid mantap,1.0
91,hadiri acara silaturahmi rekonsiliasi pasca pilih umum gunungkidul dim,1.0
92,video awasi situng saran masuk diawasi cek ulang data situng entri,1.0
93,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1.0
94,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1.0
95,curang curang,-1.0
97,tular kpu prof,-1.0
99,situng kpu soal capres jokowi unggul sen,1.0
101,kapok malu kpuid diberita media mainstream,-1.0
102,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1.0
103,hati hati kpu,1.0
104,situng kpuid kacau brutal dajjalkah kopi pagi akhir syaban sruputan nikmat sambut ramadhan smoga dajjal,-1.0
105,langkah sinergi jalin lalu suluh bangsa tokoh turut diwujud kpuid,1.0
107,kalau salah input us siapa caya situng kpu,-1.0
111,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1.0
112,bpn lapor kpu lembaga survei kebawaslu,-1.0
113,moga kalian segera,1.0
114,pulang kunjungi kpuid prof jadi tular salah input,-1.0
115,kpuid cebong anjing,-1.0
118,gawat banyak surat suara coblos setan kpu mnyelesainya lalu mk kpu input data,-1.0
122,press release serah bukti lbh salah input situng kpuid diima bawas,-1.0
