,Tweet,Score,Prediksi,TP,TN,FP,FN,,
0,campusteast jokowi bakal menang kalau curang maya curang manana sama kpuid c,-1,-1,0,1,0,1,,
1,ketua kpuid harusnya mundur,-1,-1,0,1,0,1,,
2,fadlizon kpuid harusnya lgsg ditembak tempat tpstps salah input c c valid,-1,-1,0,1,0,1,,
3,kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh,-1,-1,0,1,0,1,,
4,manfaatnya dilakukn pihak jawab mungkin pihak,1,1,1,0,1,0,,
5,kpuid nyata mana kau dusta kerja kotor kau bayar mahal goblok,-1,1,0,1,0,0,,
6,kalau aplikasi situng buka luang salah input ang baik stop baiki dulu artinya,-1,-1,0,1,0,1,,
7,msaiddidu desioon kpuid tdk nah berfikir jauh sangka rakyat cara rentak mengam,-1,-1,0,1,0,1,,
8,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1,-1,0,1,0,1,,
9,moga kawan sejuangan baik baik hasil bongkar masalah bocor server kpu hi,1,1,1,0,1,0,,
10,stop situng ngaco kpu,-1,-1,0,1,0,1,,
11,hingga jumat malam kpu tugas kpps wafat total sakit gtgtgtgtgt,-1,-1,0,1,0,1,,
12,udah buzer kpu ri bersih dulu kpu sekarang dukung,1,1,1,0,1,0,,
13,malah lebih dahsyat salah inputnya,-1,-1,0,1,0,1,,
14,arwidodo suro lalimoco kpuid kpuid mendiskualifikasi siapa sendiri curangnya malah brutal,-1,-1,0,1,0,1,,
15,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1,-1,0,1,0,1,,
16,gowa maccini baji tps sah tdk sah sah tdk sah maklumi kpu manusia,1,-1,1,0,0,0,,
17,ngomong curang dimulut siapa bukti curang bawa c dipegang masing paslon,-1,-1,0,1,0,1,,
18,kpuid caya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error,-1,1,0,1,0,0,,
19,cnnindonesia tetap fokus awasi kpu,1,1,1,0,1,0,,
20,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1,1,1,0,1,0,,
21,tspartan herrymety akuntofa bawasluri partaisocmed dkppri dkppri kpuid jimlyas jangan ba mas,-1,-1,0,1,0,1,,
22,jahat curang pemilu mana hitung tetap lanjut kpu pusat jahat angin la,-1,-1,0,1,0,1,,
23,video kpu salah input data koreksi dilaku,-1,-1,0,1,0,1,,
24,petisi sdh dilaku disetujui waspada laku curang mulai kpu tingkat endah sd kpu tinggi,1,-1,1,0,0,0,,
25,twit rame facebuuk rame lapngan kampanye rame massa kpu banyak suara,1,1,1,0,1,0,,
26,suara jokowi kpu hitung salah manusia tib manusia,-1,-1,0,1,0,1,,
27,seneng ket kpu c arif budimanyg tiada arifnya dlm hidupnyaakhlak suai na,-1,-1,0,1,0,1,,
