,Tweet,Scores
2,liat timeline kpu bakal tabrak hehe,-1.0
3,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1.0
4,tps gerung utara gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
5,malah lebih dahsyat salah inputnya,-1.0
6,salah kpu input data formulir c manusiawi,-1.0
7,kpuid sedikit bocor,-1.0
8,salah kpuid kpu tanya komisi ii dpr pilih manusia goblok gini jadi komisioner kpu,-1.0
9,rakyat surabaya tuntut suara dirampok inilah hasil curang dibiar rakyat lawan,-1.0
10,pemilu kali beres situngnya beres rekap kabupaten beres otomatis hasilnya be,-1.0
11,tolak narasi curang pmii gelar aksi dukung kpu bawaslu,-1.0
13,sang profokator jati,-1.0
14,suai kicau lama pakar itb sebut situng dikendali intruder sebut asal depan gambir,-1.0
15,ibarat kasih jatah ma trus ma jatah namanya dasar rakus,-1.0
16,kpu situng gaduh buat ditahan,-1.0
18,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
19,temu jokow ditengah curang kpu massif sisa gerindra,-1.0
20,bukti dukung punya ilmu politik dikit langsung ngegas gitu,-1.0
21,situng kpuid erorr dicaya,-1.0
24,situng kpu dinilai tambah kacau brutal,-1.0
26,situng kpu disusupi c palsu suara jokowi medan tambah selesai khawatir akibat belas ribu human error,-1.0
29,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
31,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1.0
32,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
33,kpuid demokrat melenggang hadap jokowi sisa gerindra pks,-1.0
35,hati banyak alih isu fokus kinerja kpu lengah dikit tewas,-1.0
36,press release serah bukti lebih salah input situng kpuid diima bawaslu,-1.0
37,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1.0
39,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
40,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1.0
41,kembali indonesia pemilu buruk panjang sejarah dunia,-1.0
42,beda demokrasi bangsa indonesia paling suka ketidak adilan fraud curang inkompetensi,-1.0
43,kaum dungu koor berjamaah tawa ala karniilyas yukk enak jadi dungu,-1.0
44,saran betul bang masalahnya belah mulai radang abangku panik tutup,-1.0
45,viral yok bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti situng kpuid,-1.0
46,bawa bukti ribu lebih salah input relawan it bpn desak bawaslu henti situng kpu,-1.0
50,forensik mayat,-1.0
52,bunya hampir salah input,-1.0
53,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1.0
54,kpu salah input suara jokowimaruf bengkak johor baru,-1.0
56,bpn prabowosandi lapor kpu lembaga survei bawaslu,-1.0
57,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
58,kpuid kpu emang pekok bahlul,-1.0
63,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1.0
64,curang curang,-1.0
65,tular kpu prof,-1.0
67,kapok malu kpuid diberita media mainstream,-1.0
70,situng kpuid kacau brutal dajjalkah kopi pagi akhir syaban sruputan nikmat sambut ramadhan smoga dajjal,-1.0
72,kalau salah input us siapa caya situng kpu,-1.0
73,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1.0
74,bpn lapor kpu lembaga survei kebawaslu,-1.0
76,pulang kunjungi kpuid prof jadi tular salah input,-1.0
77,kpuid cebong anjing,-1.0
78,gawat banyak surat suara coblos setan kpu mnyelesainya lalu mk kpu input data,-1.0
79,press release serah bukti lbh salah input situng kpuid diima bawas,-1.0
80,dahsyat tim it prabowo lapor salah input bawaslu buktibukti tunjuk kpuid tindak,-1.0
81,hukum kpuid cebong bangsat,-1.0
82,benersitung dikendali intruder fungsi ubah data disesuai dgn qc pusatnya gambir pakar,-1.0
83,kpu kata situng kpu dijadi bagai patok dijadi patok hitung manual kalau,-1.0
84,kata kpu caya kalau kambing ngeong kamu caya,-1.0
87,kpuid selamat buat rakyat apatis,-1.0
89,akhir tivi arab diwakili aljazera berita bentuk curang jadi pilpres gimana,-1.0
91,ngigau ni nyoblos dasar tug hoax,-1.0
92,kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh,-1.0
93,bubar kpuid isinya sampah dapur,-1.0
96,cucu diri nu gus aam tantang kpu sumpah mubahalah bukti curang,-1.0
97,c berapa lapis jangan coba tipu rakyat tebar kacau semua,-1.0
99,barusan muncul lama bang situng kpu bermasalah disinggung kali,-1.0
100,salah bangsa salah rezim rezim kuasa sekarang jadi gaduh disana,-1.0
102,menang barca atas lfc curang struktur sistematis masif desak kpu bawaslu,-1.0
103,salah entry doang,-1.0
105,curi diganti jadi salah ambil,-1.0
108,jangan jadi salah jadi biasa kpuid,-1.0
109,kalau benar kpuid libat atur skor bawasluri tindak tunggu azab allah,-1.0
110,tim prabowo serah box container bukti salah input data situng kpu,-1.0
111,lucu jago maksa jadi presiden anak kecil minta men lolypop,-1.0
113,usah dite ble kegencet ketidakwarasannya sendiri harusnya diganti mundur semua,-1.0
116,kata kpu caya,-1.0
117,hari kampret bahas curang kpu hastag kali nai kpucurangrakyatmelawan padahal,-1.0
118,hasil pemilu diima rakyat baik aspirasi suara rakyat dihitung bareng situng kpuid sulit diima,-1.0
120,situng mulai melambat signifi naik suara suara  situs kpuid kayaknya berat input,-1.0
122,kpu bilang situng bu patok media tv tiap menit siar hasil situng jadi alat propaganda dong,-1.0
123,suara gerus bu situng kpu rekap  kabupaten suara sampang susut ppk kedungdung,-1.0
124,curang kpu sungguh biadab laknat kalian hey antek rezim sontoloyo,-1.0
125,satu salah,-1.0
126,serius t servernya begini pleasa kpuid lebih dicaya jangan takut diaudit forensik,-1.0
128,bayang tug input data kpu kerja bank berapa milyar rupiah uang nasabah lenyap dungu bangga,-1.0
129,kpuid goblok,-1.0
131,trus c palsu,-1.0
133,gila bener situng dikendali intruder fungsi ubah data disesuai qc pusatnya gambir pakar,-1.0
134,kpuid salahnya bu sedikit salah hampir tiap hari,-1.0
135,tps gerung utara camat gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
136,kpuid bawasluri lihat cermati rakyat disuguhi curang,-1.0
137,kpuid bayar janji hutang hutang dibayar kalau dibayar sama,-1.0
138,atur kpu no tahun pasal ayat disebut c dipindai situng paling lambat hari,-1.0
139,dukung prabowo ntb minta kpuid diskualifikasi jokowimaruf desak bawaslu kpu putus batal,-1.0
140,situng kpu layak salah input diancam pidana,-1.0
141,kalau stop kpu ngeyel,-1.0
142,jumlah tumpang beoing max kitar jatuh seluruh dunia prihatin pemilu indonesia,-1.0
144,bedanya jawa barat sama jawa tengah n jauh kali selisih inputannya kalau fair kpu mintol input,-1.0
145,resmi bpn lapor data salah input situng kpuid bawasluri,-1.0
147,situng kpu dibiayai rakyat jangan dipake buat ngebohongin ngebodohi rakyat,-1.0
150,kpu depok salah input suara jokowi ditulis,-1.0
152,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
153,kata pepatah anjing gonggong kpu tetap lalu moga curang dilaknat allaha amin,-1.0
154,fadlizon ngajak ikut dukung stop situng kpu ogah,-1.0
156,maksudnya takut justru tegas didepan publik intah lalu menko tolak tunduk,-1.0
157,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerung,-1.0
158,tarawih rakaat witir rakaat rakaat tarawih rakaat witir rakaat rakaat awas salah input good pagi,-1.0
159,makin jelas curang telanjang laknatlah kalian orangorang curang,-1.0
160,kpuid salah sedikit disebut gagal kalau salah banyak sebut,-1.0
161,kpuid caya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error,-1.0
163,bapak jangan koar medsos bicara sama kpu kasus diselesai cara buka,-1.0
164,hawa negatif mendung kelabu selimut kpu,-1.0
168,kpuid serius tunduk jangan dibibir dihati,-1.0
169,kpuid usah tutup mata zolimi karna te rakyat te karna rasa suara zolimi,-1.0
170,kpuid jangan jadi punya mata lihat punya telinga,-1.0
173,beberapa besarkah caya hadap situs pilpres kpu rasa khawatir,-1.0
179,uslah tunjuk bukti fakta jangan nah lelah lawan curang,-1.0
180,jejak sangka mulai admin kpuid,-1.0
182,tim cari fakta curang tim bpn rosiade kalau curang tolak bentuk tim cari,-1.0
183,bila nyata soegianto soelistiono benar nyata dikategori salah curang jahat kpuid,-1.0
184,ang waras selenggara pemilu suara rampok kaya negara,-1.0
189,situng kpu dihack intruder depan stasiun gambir dukung pasang calon paslon presiden prabowo subiantow,-1.0
190,lebih salah input data situng kpu,-1.0
191,dipajang kpu lalu situng nyata banyak kali salah lebih parah palsu c udah salah segera,-1.0
192,main lapak kardus kpu chek in hotel semeru bogor segala dungu,-1.0
194,jatah libur kena piket kpu mati,-1.0
195,ingat berita media kompas desember kata salah sedikit pemilu disebut gagal,-1.0
197,kpu bawaslu diberi bukti lebih salah beri rakyat transparansi jujur adillah rakyat,-1.0
198,kpuid trus ngapain kamu follow lupa sibuk ngurus anak sama suami,-1.0
199,masif salah situng kpuid sinting fb pakar it univ airlangga prof soegianto soelistiono,-1.0
201,bah kait pencurangan c aspal wanti sejak lama bantu kpu,-1.0
202,urus salah kampret keluar namanya keliru manusiawi manusia begok,-1.0
203,pakar it universitas airlangga temu salah input data situng kpu henti situng kpu bagaimana,-1.0
206,darurat curang kait c input data kpu aktivis desak kpuid tutup situng,-1.0
208,semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas,-1.0
211,bpn lapor kpu lembaga survei bawaslu,-1.0
213,kpuid curang ma,-1.0
214,henti situng kpu salah sangat brutal banyak salah input data situng jumlah,-1.0
216,situs kpu sama survey qc menangin bayar bentuk opini,-1.0
217,akhir bpn prabowosandi buka rahasia curang hasil input data kpuid banyak kemarin,-1.0
218,kpuid bawasluri dkppri penanggungjawab selenggara pemilu cara caya rakyat yuk,-1.0
219,kalau aplikasi situng buka luang salah input ang baik stop baiki dulu artinya,-1.0
221,minta rizieq shihab henti situng kpu dinilai aneh,-1.0
222,intelijen eks kopassus oasi cipta kondisi kpu curang,-1.0
226,tutup situng komisioner kpu dijerat pidana,-1.0
227,kpuid salah tegur tahan salah dungu,-1.0
232,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
